,PID,TID,Timestamp,Channel,CPU,Event type,Contents,Trace Packet Header,Packet Context,Stream Context,Event Context,Prio,Source
0,817.0,817.0,19:40:14.168 670 159,my-kernel-channel_2,2,syscall_exit_epoll_wait,"ret=0, fds_length=0, overflow=0, fds=[], context.packet_seq_num=0, context.cpu_id=2, context._procname=""node"", context._pid=817, context._tid=817","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061346103895, timestamp_end=12032520499040, content_size=309229888, packet_size=309231616, packet_seq_num=0, events_discarded=0, cpu_id=2]","[procname=""node"", pid=817, tid=817]",,20.0,[fs/eventpoll.c:0]
1,817.0,817.0,19:40:14.168 711 831,my-kernel-channel_2,2,syscall_entry_epoll_wait,"epfd=13, maxevents=1024, timeout=0, context.packet_seq_num=0, context.cpu_id=2, context._procname=""node"", context._pid=817, context._tid=817","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061346103895, timestamp_end=12032520499040, content_size=309229888, packet_size=309231616, packet_seq_num=0, events_discarded=0, cpu_id=2]","[procname=""node"", pid=817, tid=817]",,20.0,[fs/eventpoll.c:0]
2,817.0,817.0,19:40:14.168 716 488,my-kernel-channel_2,2,syscall_exit_epoll_wait,"ret=0, fds_length=0, overflow=0, fds=[], context.packet_seq_num=0, context.cpu_id=2, context._procname=""node"", context._pid=817, context._tid=817","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061346103895, timestamp_end=12032520499040, content_size=309229888, packet_size=309231616, packet_seq_num=0, events_discarded=0, cpu_id=2]","[procname=""node"", pid=817, tid=817]",,20.0,[fs/eventpoll.c:0]
3,817.0,817.0,19:40:14.168 720 138,my-kernel-channel_2,2,syscall_entry_epoll_wait,"epfd=13, maxevents=1024, timeout=10, context.packet_seq_num=0, context.cpu_id=2, context._procname=""node"", context._pid=817, context._tid=817","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061346103895, timestamp_end=12032520499040, content_size=309229888, packet_size=309231616, packet_seq_num=0, events_discarded=0, cpu_id=2]","[procname=""node"", pid=817, tid=817]",,20.0,[fs/eventpoll.c:0]
4,817.0,817.0,19:40:14.168 731 524,hannel=my-kernel-channel_2,2,sched_switch,"prev_comm=""node"", prev_tid=817, prev_prio=20, prev_state=1, next_comm=""swapper/2"", next_tid=0, next_prio=20, context.packet_seq_num=0, context.cpu_id=2","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061787604255, timestamp_end=10216967450759, content_size=8388360, packet_size=8388608, packet_seq_num=0, events_discarded=0, cpu_id=2]",,,20.0,
5,812.0,971.0,19:40:14.171 449 237,my-kernel-channel_2,2,syscall_exit_futex,"ret=-110, uaddr=140320876687944, uaddr2=0, context.packet_seq_num=0, context.cpu_id=2, context._procname=""VM Periodic Tas"", context._pid=812, context._tid=971","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061346103895, timestamp_end=12032520499040, content_size=309229888, packet_size=309231616, packet_seq_num=0, events_discarded=0, cpu_id=2]","[procname=""VM Periodic Tas"", pid=812, tid=971]",,20.0,[kernel/futex.c:0]
6,812.0,971.0,19:40:14.171 460 397,my-kernel-channel_2,2,syscall_entry_futex,"uaddr=140320876687864, op=129, val=1, utime=0, uaddr2=110, val3=0, context.packet_seq_num=0, context.cpu_id=2, context._procname=""VM Periodic Tas"", context._pid=812, context._tid=971","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061346103895, timestamp_end=12032520499040, content_size=309229888, packet_size=309231616, packet_seq_num=0, events_discarded=0, cpu_id=2]","[procname=""VM Periodic Tas"", pid=812, tid=971]",,20.0,[kernel/futex.c:0]
7,812.0,971.0,19:40:14.171 462 011,my-kernel-channel_2,2,syscall_exit_futex,"ret=0, uaddr=140320876687864, uaddr2=110, context.packet_seq_num=0, context.cpu_id=2, context._procname=""VM Periodic Tas"", context._pid=812, context._tid=971","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061346103895, timestamp_end=12032520499040, content_size=309229888, packet_size=309231616, packet_seq_num=0, events_discarded=0, cpu_id=2]","[procname=""VM Periodic Tas"", pid=812, tid=971]",,20.0,[kernel/futex.c:0]
8,812.0,971.0,19:40:14.171 470 860,my-kernel-channel_2,2,syscall_entry_futex,"uaddr=140320876687944, op=137, val=0, utime=140320970562688, uaddr2=0, val3=4294967295, context.packet_seq_num=0, context.cpu_id=2, context._procname=""VM Periodic Tas"", context._pid=812, context._tid=971","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061346103895, timestamp_end=12032520499040, content_size=309229888, packet_size=309231616, packet_seq_num=0, events_discarded=0, cpu_id=2]","[procname=""VM Periodic Tas"", pid=812, tid=971]",,20.0,[kernel/futex.c:0]
9,1133.0,1162.0,19:40:14.171 913 552,my-kernel-channel_8,8,syscall_exit_futex,"ret=-110, uaddr=139853933222248, uaddr2=0, context.packet_seq_num=0, context.cpu_id=8, context._procname=""VM Periodic Tas"", context._pid=1133, context._tid=1162","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061606126541, timestamp_end=12032520543479, content_size=271051536, packet_size=271056896, packet_seq_num=0, events_discarded=0, cpu_id=8]","[procname=""VM Periodic Tas"", pid=1133, tid=1162]",,20.0,[kernel/futex.c:0]
10,1133.0,1162.0,19:40:14.171 924 957,my-kernel-channel_8,8,syscall_entry_futex,"uaddr=139853933222168, op=129, val=1, utime=0, uaddr2=110, val3=0, context.packet_seq_num=0, context.cpu_id=8, context._procname=""VM Periodic Tas"", context._pid=1133, context._tid=1162","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061606126541, timestamp_end=12032520543479, content_size=271051536, packet_size=271056896, packet_seq_num=0, events_discarded=0, cpu_id=8]","[procname=""VM Periodic Tas"", pid=1133, tid=1162]",,20.0,[kernel/futex.c:0]
11,1133.0,1162.0,19:40:14.171 926 514,my-kernel-channel_8,8,syscall_exit_futex,"ret=0, uaddr=139853933222168, uaddr2=110, context.packet_seq_num=0, context.cpu_id=8, context._procname=""VM Periodic Tas"", context._pid=1133, context._tid=1162","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061606126541, timestamp_end=12032520543479, content_size=271051536, packet_size=271056896, packet_seq_num=0, events_discarded=0, cpu_id=8]","[procname=""VM Periodic Tas"", pid=1133, tid=1162]",,20.0,[kernel/futex.c:0]
12,1133.0,1162.0,19:40:14.171 932 832,my-kernel-channel_8,8,syscall_entry_futex,"uaddr=139853933222248, op=137, val=0, utime=139852044561536, uaddr2=0, val3=4294967295, context.packet_seq_num=0, context.cpu_id=8, context._procname=""VM Periodic Tas"", context._pid=1133, context._tid=1162","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061606126541, timestamp_end=12032520543479, content_size=271051536, packet_size=271056896, packet_seq_num=0, events_discarded=0, cpu_id=8]","[procname=""VM Periodic Tas"", pid=1133, tid=1162]",,20.0,[kernel/futex.c:0]
13,1994.0,2001.0,19:40:14.175 307 516,my-kernel-channel_3,3,syscall_exit_epoll_wait,"ret=1, fds_length=1, overflow=0, fds=[[data_union._u64=0x22, data_union._fd=34, raw_events=0x1, events._EPOLLIN=1, events._EPOLLPRI=0, events._EPOLLOUT=0, events._EPOLLERR=0, events._padding=0]], context.packet_seq_num=0, context.cpu_id=3, context._procname=""lttng-consumerd"", context._pid=1994, context._tid=2001","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061388252426, timestamp_end=12032520506802, content_size=316066768, packet_size=316080128, packet_seq_num=0, events_discarded=0, cpu_id=3]","[procname=""lttng-consumerd"", pid=1994, tid=2001]",,20.0,[fs/eventpoll.c:0]
14,1994.0,2001.0,19:40:14.175 318 812,my-kernel-channel_3,3,syscall_entry_ioctl,"fd=34, cmd=62981, arg=1, context.packet_seq_num=0, context.cpu_id=3, context._procname=""lttng-consumerd"", context._pid=1994, context._tid=2001","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061388252426, timestamp_end=12032520506802, content_size=316066768, packet_size=316080128, packet_seq_num=0, events_discarded=0, cpu_id=3]","[procname=""lttng-consumerd"", pid=1994, tid=2001]",,20.0,[fs/ioctl.c:0]
15,1994.0,2001.0,19:40:14.175 455 845,my-kernel-channel_3,3,syscall_exit_ioctl,"ret=0, arg=1, context.packet_seq_num=0, context.cpu_id=3, context._procname=""lttng-consumerd"", context._pid=1994, context._tid=2001","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061388252426, timestamp_end=12032520506802, content_size=316066768, packet_size=316080128, packet_seq_num=0, events_discarded=0, cpu_id=3]","[procname=""lttng-consumerd"", pid=1994, tid=2001]",,20.0,[fs/ioctl.c:0]
16,1994.0,2001.0,19:40:14.175 458 269,my-kernel-channel_3,3,syscall_entry_ioctl,"fd=34, cmd=2148070919, arg=140707459579776, context.packet_seq_num=0, context.cpu_id=3, context._procname=""lttng-consumerd"", context._pid=1994, context._tid=2001","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061388252426, timestamp_end=12032520506802, content_size=316066768, packet_size=316080128, packet_seq_num=0, events_discarded=0, cpu_id=3]","[procname=""lttng-consumerd"", pid=1994, tid=2001]",,20.0,[fs/ioctl.c:0]
17,1994.0,2001.0,19:40:14.175 459 296,my-kernel-channel_3,3,syscall_exit_ioctl,"ret=0, arg=140707459579776, context.packet_seq_num=0, context.cpu_id=3, context._procname=""lttng-consumerd"", context._pid=1994, context._tid=2001","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061388252426, timestamp_end=12032520506802, content_size=316066768, packet_size=316080128, packet_seq_num=0, events_discarded=0, cpu_id=3]","[procname=""lttng-consumerd"", pid=1994, tid=2001]",,20.0,[fs/ioctl.c:0]
18,1864.0,1986.0,19:40:14.188 476 786,my-kernel-channel_8,8,syscall_exit_ioctl,"ret=0, arg=0, context.packet_seq_num=0, context.cpu_id=8, context._procname=""Client manageme"", context._pid=1864, context._tid=1986","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061606126541, timestamp_end=12032520543479, content_size=271051536, packet_size=271056896, packet_seq_num=0, events_discarded=0, cpu_id=8]","[procname=""Client manageme"", pid=1864, tid=1986]",,20.0,[fs/ioctl.c:0]
19,1864.0,1986.0,19:40:14.188 482 769,my-kernel-channel_8,8,syscall_entry_ioctl,"fd=21, cmd=63048, arg=0, context.packet_seq_num=0, context.cpu_id=8, context._procname=""Client manageme"", context._pid=1864, context._tid=1986","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061606126541, timestamp_end=12032520543479, content_size=271051536, packet_size=271056896, packet_seq_num=0, events_discarded=0, cpu_id=8]","[procname=""Client manageme"", pid=1864, tid=1986]",,20.0,[fs/ioctl.c:0]
20,1864.0,1986.0,19:40:14.212 473 395,my-kernel-channel_8,8,syscall_exit_ioctl,"ret=0, arg=0, context.packet_seq_num=0, context.cpu_id=8, context._procname=""Client manageme"", context._pid=1864, context._tid=1986","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061606126541, timestamp_end=12032520543479, content_size=271051536, packet_size=271056896, packet_seq_num=0, events_discarded=0, cpu_id=8]","[procname=""Client manageme"", pid=1864, tid=1986]",,20.0,[fs/ioctl.c:0]
21,1864.0,1986.0,19:40:14.212 489 400,my-kernel-channel_8,8,syscall_entry_sendmsg,"fd=73, msg=140040394945040, flags=0, context.packet_seq_num=0, context.cpu_id=8, context._procname=""Client manageme"", context._pid=1864, context._tid=1986","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061606126541, timestamp_end=12032520543479, content_size=271051536, packet_size=271056896, packet_seq_num=0, events_discarded=0, cpu_id=8]","[procname=""Client manageme"", pid=1864, tid=1986]",,20.0,[net/socket.c:0]
22,1864.0,1986.0,19:40:14.212 527 453,my-kernel-channel_8,8,syscall_exit_sendmsg,"ret=12690, context.packet_seq_num=0, context.cpu_id=8, context._procname=""Client manageme"", context._pid=1864, context._tid=1986","[magic=3254525889, uuid=[54, 244, 72, 174, 64, 157, 222, 78, 174, 239, 51, 227, 134, 194, 242, 132], stream_id=0, stream_instance_id=9]","[timestamp_begin=10061606126541, timestamp_end=12032520543479, content_size=271051536, packet_size=271056896, packet_seq_num=0, events_discarded=0, cpu_id=8]","[procname=""Client manageme"", pid=1864, tid=1986]",,20.0,[net/socket.c:0]
