,PID,TID,Category
3,1,1,Unknown
7,499,499,Unknown
9,499,20885,I/O (File and Disk Operations)
14,499,20886,I/O (File and Disk Operations)
19,499,20938,I/O (File and Disk Operations)
24,499,20998,I/O (File and Disk Operations)
29,499,21124,I/O (File and Disk Operations)
33,542,542,Synchronization and Timing
34,542,553,Event Polling and Notification
36,542,554,Synchronization and Timing
40,549,549,Unknown
44,757,757,Unknown
48,795,795,Unknown
52,797,797,Unknown
55,808,808,Synchronization and Timing
56,809,809,Networking (Socket and Communication)
57,812,955,Synchronization and Timing
58,812,967,Synchronization and Timing
59,812,968,Synchronization and Timing
61,812,969,Synchronization and Timing
63,812,971,Synchronization and Timing
64,812,973,Synchronization and Timing
65,816,816,Event Polling and Notification
72,817,817,Unknown
74,817,938,Synchronization and Timing
76,817,939,Synchronization and Timing
78,817,940,Synchronization and Timing
80,817,941,Synchronization and Timing
84,817,1191,Synchronization and Timing
89,817,1192,Synchronization and Timing
94,817,1193,Synchronization and Timing
99,817,1194,Synchronization and Timing
101,820,820,Event Polling and Notification
103,820,867,Event Polling and Notification
106,820,868,I/O (File and Disk Operations)
109,820,869,Synchronization and Timing
110,823,947,Synchronization and Timing
111,823,949,Synchronization and Timing
113,823,960,Synchronization and Timing
115,823,961,Synchronization and Timing
118,823,962,Synchronization and Timing
121,823,981,Synchronization and Timing
123,823,982,Synchronization and Timing
125,823,1013,Synchronization and Timing
126,823,1041,Synchronization and Timing
129,823,1042,Synchronization and Timing
131,823,1043,Synchronization and Timing
135,823,1049,Synchronization and Timing
137,823,1081,Synchronization and Timing
140,823,1082,Synchronization and Timing
144,823,1084,Synchronization and Timing
148,823,1089,Synchronization and Timing
150,823,1090,Unknown
154,827,827,Unknown
155,829,829,Event Polling and Notification
161,829,20887,Synchronization and Timing
167,829,20942,Synchronization and Timing
173,829,21006,Synchronization and Timing
176,1133,1135,Synchronization and Timing
177,1133,1138,Synchronization and Timing
178,1133,1139,Synchronization and Timing
179,1133,1140,Synchronization and Timing
181,1133,1141,Synchronization and Timing
182,1133,1142,Synchronization and Timing
183,1133,1143,Synchronization and Timing
184,1133,1144,Synchronization and Timing
185,1133,1145,Synchronization and Timing
187,1133,1146,Synchronization and Timing
189,1133,1148,Synchronization and Timing
191,1133,1149,Synchronization and Timing
194,1133,1150,Synchronization and Timing
198,1133,1151,Synchronization and Timing
200,1133,1154,Synchronization and Timing
201,1133,1155,Synchronization and Timing
205,1133,1156,Synchronization and Timing
210,1133,1157,Synchronization and Timing
212,1133,1158,Synchronization and Timing
213,1133,1162,Synchronization and Timing
215,1133,1196,Synchronization and Timing
218,1133,1197,Synchronization and Timing
220,1133,1224,Synchronization and Timing
222,1133,1226,Synchronization and Timing
227,1133,1230,Unknown
232,1133,1231,Unknown
237,1133,1255,Unknown
242,1133,1256,Unknown
247,1133,1257,Unknown
252,1133,1258,Unknown
257,1133,1259,Unknown
262,1133,1260,Unknown
267,1133,1261,Unknown
272,1133,1262,Unknown
277,1133,1263,Unknown
282,1133,1264,Unknown
284,1133,1265,Synchronization and Timing
287,1133,1266,Synchronization and Timing
291,1133,1267,Synchronization and Timing
294,1133,1275,Synchronization and Timing
298,1133,1276,Synchronization and Timing
300,1133,1290,Synchronization and Timing
304,1133,1318,Synchronization and Timing
307,1133,1319,Synchronization and Timing
310,1133,1320,Synchronization and Timing
313,1133,1321,Synchronization and Timing
316,1133,1322,Synchronization and Timing
319,1133,1323,Synchronization and Timing
323,1133,1331,Synchronization and Timing
327,1133,1332,Synchronization and Timing
331,1133,1333,Synchronization and Timing
335,1133,1334,Synchronization and Timing
339,1133,1335,Synchronization and Timing
343,1133,1336,Synchronization and Timing
347,1133,1337,Synchronization and Timing
351,1133,1338,Synchronization and Timing
355,1133,1339,Synchronization and Timing
359,1133,1340,Synchronization and Timing
363,1133,1342,Synchronization and Timing
367,1133,1345,Synchronization and Timing
371,1133,1346,Synchronization and Timing
375,1133,1347,Synchronization and Timing
377,1133,1348,I/O (File and Disk Operations)
382,1133,1349,I/O (File and Disk Operations)
387,1133,1350,I/O (File and Disk Operations)
394,1133,1351,Synchronization and Timing
399,1133,1352,Synchronization and Timing
403,1133,1353,Synchronization and Timing
407,1133,1354,Synchronization and Timing
410,1133,1355,Synchronization and Timing
413,1133,1356,Synchronization and Timing
417,1133,1357,Synchronization and Timing
421,1133,1358,Synchronization and Timing
423,1133,1365,I/O (File and Disk Operations)
428,1133,1369,Synchronization and Timing
433,1133,1370,Synchronization and Timing
438,1133,1371,Synchronization and Timing
443,1133,1372,Synchronization and Timing
448,1133,1373,Synchronization and Timing
451,1133,1374,I/O (File and Disk Operations)
455,1133,1375,I/O (File and Disk Operations)
458,1133,1376,I/O (File and Disk Operations)
462,1133,1380,Synchronization and Timing
464,1133,1390,I/O (File and Disk Operations)
469,1133,1394,Synchronization and Timing
471,1133,1395,Synchronization and Timing
473,1133,1398,Synchronization and Timing
474,1133,1399,Synchronization and Timing
475,1133,1400,Synchronization and Timing
478,1133,1401,Synchronization and Timing
479,1133,1402,Synchronization and Timing
480,1133,1403,Synchronization and Timing
482,1133,1404,Synchronization and Timing
483,1133,1410,Synchronization and Timing
484,1133,1411,Synchronization and Timing
485,1133,1414,Synchronization and Timing
486,1133,1415,Synchronization and Timing
487,1133,1420,Synchronization and Timing
488,1133,1421,Synchronization and Timing
489,1133,1603,Synchronization and Timing
491,1133,1604,Synchronization and Timing
493,1133,2230,Synchronization and Timing
496,1133,2231,Synchronization and Timing
497,1133,2324,Synchronization and Timing
499,1133,2325,Synchronization and Timing
502,1133,2328,Synchronization and Timing
505,1133,2374,Synchronization and Timing
509,1133,2375,Synchronization and Timing
512,1133,2376,Synchronization and Timing
516,1133,2377,Synchronization and Timing
518,1133,2378,Synchronization and Timing
520,1133,2379,Synchronization and Timing
522,1133,2383,Synchronization and Timing
525,1133,2493,Synchronization and Timing
528,1133,2530,Synchronization and Timing
532,1133,2570,Synchronization and Timing
536,1133,2603,Synchronization and Timing
538,1133,2628,Synchronization and Timing
540,1133,2712,Synchronization and Timing
544,1133,8679,Synchronization and Timing
548,1133,8689,Synchronization and Timing
551,1133,19916,Synchronization and Timing
553,1133,20507,Synchronization and Timing
556,1133,20665,Synchronization and Timing
558,1133,20688,I/O (File and Disk Operations)
563,1133,20874,I/O (File and Disk Operations)
569,1133,20875,Synchronization and Timing
572,1133,20876,I/O (File and Disk Operations)
577,1133,20877,I/O (File and Disk Operations)
582,1133,20878,I/O (File and Disk Operations)
587,1133,20879,I/O (File and Disk Operations)
592,1133,20880,I/O (File and Disk Operations)
597,1133,20881,I/O (File and Disk Operations)
604,1133,20882,Synchronization and Timing
607,1133,20883,I/O (File and Disk Operations)
