PID,TID,Category,procname,count,total_time_ns,avg_time_ns,max_time_ns
1,1,CPU and Process Management,systemd,122,288629,2365.811475409836,4610
1,1,I/O (File and Disk Operations),systemd,732,6988904,9547.68306010929,207686
1,1,Networking (Socket and Communication),systemd,122,2446836,20056.032786885247,52328
1,1,Unknown,systemd,166,1869976856016,11264920819.373493,59999664424
499,499,CPU and Process Management,systemd-journal,224,805950,3597.9910714285716,58200
499,499,I/O (File and Disk Operations),systemd-journal,1014,7171606387,7072590.125246548,1115129361
499,499,Networking (Socket and Communication),systemd-journal,62,1632316,26327.677419354837,119602
499,499,Unknown,systemd-journal,327,1834983374961,5611569954.009174,125748408611
499,20885,CPU and Process Management,systemd-journal,1,9468,9468.0,9468
499,20885,I/O (File and Disk Operations),journal-offline,2,366363802,183181901.0,203452348
499,20885,Memory Management,journal-offline,1,88402,88402.0,88402
499,20885,Unknown,journal-offline,1,5764,5764.0,5764
499,20885,Unknown,systemd-journal,3,11623,3874.3333333333335,4964
499,20886,CPU and Process Management,systemd-journal,1,8869,8869.0,8869
499,20886,I/O (File and Disk Operations),journal-offline,2,366215367,183107683.5,204520260
499,20886,Memory Management,journal-offline,1,97118,97118.0,97118
499,20886,Unknown,journal-offline,1,6159,6159.0,6159
499,20886,Unknown,systemd-journal,3,10789,3596.3333333333335,4695
499,20938,CPU and Process Management,systemd-journal,1,9354,9354.0,9354
499,20938,I/O (File and Disk Operations),journal-offline,2,303473145,151736572.5,267080540
499,20938,Memory Management,journal-offline,1,20319,20319.0,20319
499,20938,Unknown,journal-offline,1,6771,6771.0,6771
499,20938,Unknown,systemd-journal,3,11626,3875.3333333333335,4613
499,20998,CPU and Process Management,systemd-journal,1,2570,2570.0,2570
499,20998,I/O (File and Disk Operations),journal-offline,2,192833196,96416598.0,104724146
499,20998,Memory Management,journal-offline,1,4624,4624.0,4624
499,20998,Unknown,journal-offline,1,1077,1077.0,1077
499,20998,Unknown,systemd-journal,3,2004,668.0,740
499,21124,CPU and Process Management,systemd-journal,1,5332,5332.0,5332
499,21124,I/O (File and Disk Operations),journal-offline,2,164886205,82443102.5,104942798
499,21124,Memory Management,journal-offline,1,9785,9785.0,9785
499,21124,Unknown,journal-offline,1,2542,2542.0,2542
499,21124,Unknown,systemd-journal,3,5201,1733.6666666666667,2306
542,542,Synchronization and Timing,multipathd,4323,1925438759158,445394115.0030072,1005776170
542,553,Event Polling and Notification,multipathd,63,1890041099639,30000652375.22222,30003576095
542,554,I/O (File and Disk Operations),multipathd,4171,27764155,6656.474466554783,96774
542,554,Synchronization and Timing,multipathd,4207,1925350915255,457654127.7050154,1005706643
549,549,CPU and Process Management,systemd-udevd,80,168634,2107.925,3693
549,549,I/O (File and Disk Operations),systemd-udevd,32,198898,6215.5625,26207
549,549,Networking (Socket and Communication),systemd-udevd,96,1537258,16013.104166666666,77630
549,549,Unknown,systemd-udevd,31,1799995772851,58064379769.3871,120000672193
757,757,CPU and Process Management,systemd-timesyn,82,182492,2225.512195121951,4709
757,757,I/O (File and Disk Operations),systemd-timesyn,42,426439,10153.309523809523,86160
757,757,Networking (Socket and Communication),systemd-timesyn,103,1768459,17169.504854368934,89735
